Episode 1/1000, Reward: 1887.5941407149346
Episode 2/1000, Reward: 1970.6004149074552
Episode 3/1000, Reward: 2023.9264135427147
Episode 4/1000, Reward: 1674.2179467787075
Episode 5/1000, Reward: 1752.5314180767807
Episode 6/1000, Reward: 2001.5206604951657
Episode 7/1000, Reward: 1184.8791517569446
Episode 8/1000, Reward: 1560.5137674576629
Episode 9/1000, Reward: 2100.70070026663
Episode 10/1000, Reward: 1663.976018660627
Episode 11/1000, Reward: 2468.9657796664237
Episode 12/1000, Reward: 1993.6418879476869
Episode 13/1000, Reward: 2056.265595758407
Episode 14/1000, Reward: 2929.650487539546
Episode 15/1000, Reward: 2136.14920441248
Episode 16/1000, Reward: 2297.5457760195563
Episode 17/1000, Reward: 1343.9337393257042
Episode 18/1000, Reward: 2025.1366095410153
Episode 19/1000, Reward: 1388.4130652939755
Episode 20/1000, Reward: 2537.3145377942415
Episode 21/1000, Reward: 1487.4202960331775
Episode 22/1000, Reward: 2023.308456635204
Episode 23/1000, Reward: 1906.8324652011615
Episode 24/1000, Reward: 1404.6806700461138
Episode 25/1000, Reward: 3016.015107202099
Episode 26/1000, Reward: 2020.398533261891
Episode 27/1000, Reward: 1781.0103857027414
Episode 28/1000, Reward: 1371.573687817565
Episode 29/1000, Reward: 1771.4691847140157
Episode 30/1000, Reward: 1796.5489251148306
Episode 31/1000, Reward: 3633.4667791630245
Episode 32/1000, Reward: 1556.0481142945773
Episode 33/1000, Reward: 2219.3385393038066
Episode 34/1000, Reward: 1337.6568117801646
Episode 35/1000, Reward: 1582.325665989421
Episode 36/1000, Reward: 2402.5660829776207
Episode 37/1000, Reward: 2236.643466788484
Episode 38/1000, Reward: 2310.1684873167833
Episode 39/1000, Reward: 1527.2907585060223
Episode 40/1000, Reward: 1419.7212067705154
Episode 41/1000, Reward: 1871.4305620524397
Episode 42/1000, Reward: 1880.7927684564277
Episode 43/1000, Reward: 1696.1254266348071
Episode 44/1000, Reward: 2119.297804532091
Episode 45/1000, Reward: 1817.1324156409803
Episode 46/1000, Reward: 1985.2971128107922
Episode 47/1000, Reward: 1305.584328123975
Episode 48/1000, Reward: 2372.3422694565197
Episode 49/1000, Reward: 1933.05863707935
Episode 50/1000, Reward: 2534.119939757887
Episode 51/1000, Reward: 2057.815936068162
Episode 52/1000, Reward: 2022.8853160811127
Episode 53/1000, Reward: 1455.8309649194396
Episode 54/1000, Reward: 1658.2117509755526
Episode 55/1000, Reward: 1552.0822542852206
Episode 56/1000, Reward: 913.368380389452
Episode 57/1000, Reward: 2161.8799339727398
Episode 58/1000, Reward: 1625.4473399269211
Episode 59/1000, Reward: 1951.0667870641932
Episode 60/1000, Reward: 2479.8918037212616
Episode 61/1000, Reward: 1380.9654321983842
Episode 62/1000, Reward: 1632.0144380607228
Episode 63/1000, Reward: 1747.9010688423614
Episode 64/1000, Reward: 1760.4843717323827
Episode 65/1000, Reward: 1588.8037715787514
Episode 66/1000, Reward: 1936.5413288055906
Episode 67/1000, Reward: 1870.003012331998
Episode 68/1000, Reward: 2008.5704353843435
Episode 69/1000, Reward: 1804.9968513859114
Episode 70/1000, Reward: 1201.9587688733288
Episode 71/1000, Reward: 2025.3881064325349
Episode 72/1000, Reward: 2667.1672643572497
Episode 73/1000, Reward: 1553.8121276474587
Episode 74/1000, Reward: 1871.2143134539745
Episode 75/1000, Reward: 1810.9735958375663
Episode 76/1000, Reward: 1747.420672092243
Episode 77/1000, Reward: 1339.1811150787814
Episode 78/1000, Reward: 2128.932068658481
Episode 79/1000, Reward: 1504.5507207096005
Episode 80/1000, Reward: 1227.6076372591274
Episode 81/1000, Reward: 1802.9805326125359
Episode 82/1000, Reward: 1439.5588504239709
Episode 83/1000, Reward: 2012.6775534572278
Episode 84/1000, Reward: 2060.713328079661
Episode 85/1000, Reward: 1883.6597951747367
Episode 86/1000, Reward: 1874.3859237875586
Episode 87/1000, Reward: 1837.0930292739806
Episode 88/1000, Reward: 2258.81045879967
Episode 89/1000, Reward: 2440.8655358176293
Episode 90/1000, Reward: 1972.1961384077154
Episode 91/1000, Reward: 1815.9950411054049
Episode 92/1000, Reward: 1278.0050891878882
Episode 93/1000, Reward: 1813.6625737400184
Episode 94/1000, Reward: 2079.5581688892407
Episode 95/1000, Reward: 1168.9905153600757
Episode 96/1000, Reward: 2603.6818420281525
Episode 97/1000, Reward: 1538.0178346779098
Episode 98/1000, Reward: 1701.0491320293127
Episode 99/1000, Reward: 2218.550003633184
Episode 100/1000, Reward: 2086.4692358687557
Episode 101/1000, Reward: 2320.9934800338688
Episode 102/1000, Reward: 1637.1184842848515
Episode 103/1000, Reward: 1512.4434481677479
Episode 104/1000, Reward: 2356.6381893842067
